representative,synonym,group_size
infertility,infertility problem,11
infertility,infertility problems,11
infertility,male factor infertility,11
infertility,primary or secondary infertility,11
infertility,tendency of infertility,11
impaired fertility,fertility disorders,4
impaired fertility,impaired fertility,4
impaired fertility,poor fertility,4
impaired fertility,reduced fertility,4
neonatal morbidity,fetal and neonatal morbidity and mortality,2
neonatal morbidity,neonatal morbidity,2
increased risk of preterm delivery,fetal risks including pre-term delivery,3
increased risk of preterm delivery,increased risk of premature birth,3
increased risk of preterm delivery,increased risk of preterm delivery,3
need for a medication adherence solution that is easy to use for seniors,few existing solutions available for ensuring medication adherence,2
need for a medication adherence solution that is easy to use for seniors,need for a medication adherence solution that is easy to use for seniors,2
financial burden on society,financial burden on insurers,3
financial burden on society,financial burden on society,3
financial burden on society,financial burden on the government,3
financial constraints,financial constraints,1
financial cost,financial cost,1
significant financial burden,financially burdensome,2
significant financial burden,significant financial burden,2
fire death risk among seniors is more than double the average population,fire death risk among seniors is more than double the average population,1
fixed activation points,fixed activation points,1
fixed back of standard wheelchairs,fixed back of standard wheelchairs,1
fixed length of cane or crutch may upset a balance,fixed length of cane or crutch may upset a balance,1
follicular atresia,follicular atresia,1
forgetfulness,forgetfulness,1
forgetting to eat,forgetting to eat,1
